Node Name,Markup Type,Label,X,Y,Z,Measurement Name,Value,Unit
MF,Fiducial,MF-1,-886.3461026636733,-892.5528913079698,0.0,,,
IAC canal2,Curve,OC_1-1,-299.4354784410957,-703.766998065698,0.0,,,
IAC canal2,Curve,OC_1-1,-336.7278219928543,-741.9277700312294,0.0,,,
IAC canal2,Curve,OC_1-1,-354.69553607168103,-764.3546248303489,0.0,,,
IAC canal2,Curve,OC_1-1,-381.0847836222381,-811.4320132310273,0.0,,,
IAC canal2,Curve,OC_1-1,-443.12224589222313,-875.0704422692703,0.0,,,
IAC canal2,Curve,OC_1-3,-496.1116706292584,-904.5740032404252,0.0,,,
IAC canal2,Curve,,,,,length,286.37828765603945,mm
IAC canal2,Curve,,,,,curvature mean,0.0,
IAC canal2,Curve,,,,,curvature max,0.0,
IAC canal2,Curve,,,,,torsion mean,0.0,
IAC canal2,Curve,,,,,torsion max,0.0,
LBM,Line,LBM-1,0.4915549989349586,-1010.9975323535676,0.0,,,
LBM,Line,LBM-2,-2078.3823917870077,-1007.138236660277,0.0,,,
LBM,Line,,,,,length,2078.8775290498984,mm
IAC canal1,Curve,OC_1-1,-329.74597883657515,-621.280350500066,0.0,,,
IAC canal1,Curve,OC_1-1,-337.1971703048956,-647.6998077023402,0.0,,,
IAC canal1,Curve,OC_1-1,-357.48720052760586,-686.3342488113365,0.0,,,
IAC canal1,Curve,OC_1-1,-386.3286126710019,-734.8285970184802,0.0,,,
IAC canal1,Curve,OC_1-1,-425.2164369937748,-782.5540720903352,0.0,,,
IAC canal1,Curve,OC_1-3,-453.32186853803216,-803.9219380073879,0.0,,,
IAC canal1,Curve,,,,,length,224.65653691936117,mm
IAC canal1,Curve,,,,,curvature mean,0.0,
IAC canal1,Curve,,,,,curvature max,0.0,
IAC canal1,Curve,,,,,torsion mean,0.0,
IAC canal1,Curve,,,,,torsion max,0.0,
Angle of Mandible,Angle,A_3-1,-61.232721444210085,-359.723326466613,0.0,,,
Angle of Mandible,Angle,A_3-2,-326.2357528886658,-912.2546470283032,0.0,,,
Angle of Mandible,Angle,A_3-3,-656.1645270370133,-987.7805109899732,0.0,,,
Angle of Mandible,Angle,,,,,angle,128.51687984106889,deg
Anterior of Ramus,Curve,anterior of ramus-1,-530.3466169228736,-490.517781799702,0.0,,,
Anterior of Ramus,Curve,anterior of ramus-1,-477.74075383464253,-583.7866620131986,0.0,,,
Anterior of Ramus,Curve,anterior of ramus-2,-501.1274586654504,-678.0878911696815,0.0,,,
Anterior of Ramus,Curve,,,,,length,207.46981083735852,mm
Anterior of Ramus,Curve,,,,,curvature mean,0.0,
Anterior of Ramus,Curve,,,,,curvature max,0.0,
Anterior of Ramus,Curve,,,,,torsion mean,0.0,
Anterior of Ramus,Curve,,,,,torsion max,0.0,
Apex of PremolarMolar,Fiducial,Apex of Premolar/Molar,-877.5705110382441,-856.2202413455688,0.0,,,
IAC,Fiducial,IAC ,-284.67840021025836,-639.3475094439858,0.0,,,
IAC Sup,Fiducial,IAC SUP,-284.528969894262,-635.6117515440768,0.0,,,
IAC inf,Fiducial,IAC INF,-284.8278305262547,-643.8304189238767,0.0,,,
MF Int,Fiducial,MF-int,-886.8581624561042,-898.0146727259391,0.0,,,
MF Sup,Fiducial,MF-sup,-885.8630569470478,-887.7319157990227,0.0,,,
Mid-symphyseal,Line,AMB-1,-1078.7496158265117,18.10274713604258,0.0,,,
Mid-symphyseal,Line,AMB-2,-1080.626828902789,-1111.979524782878,0.0,,,
Mid-symphyseal,Line,,,,,length,1130.0838310649183,mm
Alveolar Crest2,Angle,A-1,-847.2257294740348,-713.9447417560314,0.0,,,
Alveolar Crest2,Angle,Alveolar Crest2,-855.2928254939773,-713.3739183875514,0.0,,,
Alveolar Crest2,Angle,A-3,-853.6973058152853,-694.370488566897,0.0,,,
Alveolar Crest2,Angle,,,,,angle,89.24819963716249,deg
Alveolar Crest3,Angle,A-1,-783.485530590514,-718.2422095674472,0.0,,,
Alveolar Crest3,Angle,Alveolar Crest3,-788.7595127020679,-720.676355157395,0.0,,,
Alveolar Crest3,Angle,A-3,-785.5139852488039,-710.1283909342875,0.0,,,
Alveolar Crest3,Angle,,,,,angle,48.122130462115564,deg
Alveolar Crest1,Angle,A-1,-673.1375971795424,-715.4023730458413,0.0,,,
Alveolar Crest1,Angle,Alveolar Crest1,-690.1766163091777,-715.8080639774992,0.0,,,
Alveolar Crest1,Angle,A-3,-688.9595435142038,-687.8153896930983,0.0,,,
Alveolar Crest1,Angle,,,,,angle,86.1465195463984,deg
LBM 90,Fiducial,LBM 90-1,-888.1879753486174,-1008.4813133001162,0.0,,,
