Node Name,Markup Type,Label,X,Y,Z,Measurement Name,Value,Unit
MF,Fiducial,MF-1,-882.4608348636739,-907.1773320779438,0.0,,,
IAC canal2,Curve,OC_1-1,-282.2422073051005,-608.4269270103816,0.0,,,
IAC canal2,Curve,OC_1-1,-302.29698558718496,-626.907979165295,0.0,,,
IAC canal2,Curve,OC_1-1,-331.6416887624992,-675.8158177908188,0.0,,,
IAC canal2,Curve,OC_1-1,-352.3555968862503,-718.1067135434776,0.0,,,
IAC canal2,Curve,OC_1-1,-372.7818118416161,-762.1237683064488,0.0,,,
IAC canal2,Curve,OC_1-1,-409.04278904255233,-809.6539371589463,0.0,,,
IAC canal2,Curve,OC_1-3,-485.5366182428628,-855.8258881176923,0.0,,,
IAC canal2,Curve,,,,,length,330.4398603344426,mm
IAC canal2,Curve,,,,,curvature mean,0.0,
IAC canal2,Curve,,,,,curvature max,0.0,
IAC canal2,Curve,,,,,torsion mean,0.0,
IAC canal2,Curve,,,,,torsion max,0.0,
LBM,Line,LBM-1,9.341515703571048,-1040.4418604780496,0.0,,,
LBM,Line,LBM-2,-2049.946196811591,-1041.2570971021648,0.0,,,
LBM,Line,,,,,length,2059.287873884242,mm
IAC canal1,Curve,OC_1-1,-307.05101677547157,-551.2288385092487,0.0,,,
IAC canal1,Curve,OC_1-1,-326.34675747464905,-609.8051942031801,0.0,,,
IAC canal1,Curve,OC_1-3,-353.9121013306168,-664.9358819151156,0.0,,,
IAC canal1,Curve,,,,,length,123.3967204504957,mm
IAC canal1,Curve,,,,,curvature mean,0.0,
IAC canal1,Curve,,,,,curvature max,0.0,
IAC canal1,Curve,,,,,torsion mean,0.0,
IAC canal1,Curve,,,,,torsion max,0.0,
Angle of Mandible,Angle,A_3-1,-114.53293911439128,-270.2448649446494,0.0,,,
Angle of Mandible,Angle,A_3-2,-203.9427641564575,-765.5540712265681,0.0,,,
Angle of Mandible,Angle,A_3-3,-580.6227617476014,-967.3469270789668,0.0,,,
Angle of Mandible,Angle,,,,,angle,128.41103990266657,deg
Anterior of Ramus,Curve,anterior of ramus-1,-478.2335182143038,-447.06731189428257,0.0,,,
Anterior of Ramus,Curve,anterior of ramus-1,-440.9783167063214,-523.3517721249132,0.0,,,
Anterior of Ramus,Curve,anterior of ramus-2,-444.526431135653,-641.0309006977462,0.0,,,
Anterior of Ramus,Curve,,,,,length,204.24318148176764,mm
Anterior of Ramus,Curve,,,,,curvature mean,0.0,
Anterior of Ramus,Curve,,,,,curvature max,0.0,
Anterior of Ramus,Curve,,,,,torsion mean,0.0,
Anterior of Ramus,Curve,,,,,torsion max,0.0,
Apex of PremolarMolar,Fiducial,Apex of Premolar/Molar,-873.1724978727095,-867.3610551161651,0.0,,,
IAC ,Fiducial,IAC ,-281.0225240443874,-545.6552991154111,0.0,,,
IAC Sup,Fiducial,IAC SUP,-280.35986158470405,-541.584658291642,0.0,,,
IAC inf,Fiducial,IAC INF,-281.16452314289097,-548.4006150198136,0.0,,,
MF Int,Fiducial,MF-int,-882.5421769391767,-910.2683309470524,0.0,,,
MF Sup,Fiducial,MF-sup,-882.379492788171,-904.1676752843384,0.0,,,
Mid-symphyseal,Line,AMB-1,-1028.626670770562,15.9646855805654,0.0,,,
Mid-symphyseal,Line,AMB-2,-1034.9957068964627,-1132.0540761130026,0.0,,,
Mid-symphyseal,Line,,,,,length,1148.036428786825,mm
Alveolar Crest1,Angle,A-1,-636.93276275005,-731.9757639992848,0.0,,,
Alveolar Crest1,Angle,Alveolar Crest1,-655.304642914267,-730.9829589656669,0.0,,,
Alveolar Crest1,Angle,A-3,-653.236554839988,-710.8767389417179,0.0,,,
Alveolar Crest1,Angle,,,,,angle,87.220535895624,deg
Alveolar Crest2,Angle,A-1,-834.1058585044441,-745.7583813445569,0.0,,,
Alveolar Crest2,Angle,Alveolar Crest2,-838.753293965299,-745.1916209225016,0.0,,,
Alveolar Crest2,Angle,A-3,-835.845228665278,-738.6707663158037,0.0,,,
Alveolar Crest2,Angle,,,,,angle,72.91781457253386,deg
Alveolar Crest3,Angle,A-1,-767.3067849066549,-739.8171276980054,0.0,,,
Alveolar Crest3,Angle,Alveolar Crest3,-773.2498360081177,-739.5043355347705,0.0,,,
Alveolar Crest3,Angle,A-3,-768.2451613963595,-734.4996609230125,0.0,,,
Alveolar Crest3,Angle,,,,,angle,48.01278750418303,deg
LBM 90,Fiducial,LBM 90-1,-891.0243474597061,-1039.7245737965168,0.0,,,
