Node Name,Markup Type,Label,X,Y,Z,Measurement Name,Value,Unit
MF,Fiducial,MF-1,-764.5109208155411,-998.7812413099464,0.0,,,
IAC canal2,Curve,OC_1-1,-305.00492807965617,-715.200624766652,0.0,,,
IAC canal2,Curve,OC_1-1,-371.0900231748611,-809.5295571847042,0.0,,,
IAC canal2,Curve,OC_1-1,-436.1802770874713,-891.1043404613946,0.0,,,
IAC canal2,Curve,OC_1-1,-513.9826401493298,-942.8558287311752,0.0,,,
IAC canal2,Curve,OC_1-1,-536.1082379821373,-968.474942011268,0.0,,,
IAC canal2,Curve,OC_1-3,-570.2552424640323,-985.298386276504,0.0,,,
IAC canal2,Curve,,,,,length,385.7390480902376,mm
IAC canal2,Curve,,,,,curvature mean,0.0,
IAC canal2,Curve,,,,,curvature max,0.0,
IAC canal2,Curve,,,,,torsion mean,0.0,
IAC canal2,Curve,,,,,torsion max,0.0,
LBM,Line,LBM-1,29.401241996677328,-1111.4154056642387,0.0,,,
LBM,Line,LBM-2,-2058.71592055012,-1109.0360729925887,0.0,,,
LBM,Line,,,,,length,2088.1185181273713,mm
IAC canal1,Curve,OC_1-1,-319.87520566179063,-630.440249165954,0.0,,,
IAC canal1,Curve,OC_1-1,-386.3286126710019,-734.8285970184802,0.0,,,
IAC canal1,Curve,OC_1-1,-414.03995243597666,-782.9871389401353,0.0,,,
IAC canal1,Curve,OC_1-3,-437.4466180627029,-804.2414674977373,0.0,,,
IAC canal1,Curve,,,,,length,211.0309339324505,mm
IAC canal1,Curve,,,,,curvature mean,0.0,
IAC canal1,Curve,,,,,curvature max,0.0,
IAC canal1,Curve,,,,,torsion mean,0.0,
IAC canal1,Curve,,,,,torsion max,0.0,
Angle of Mandible,Angle,A_3-1,-84.02183812339979,-342.02686618580424,0.0,,,
Angle of Mandible,Angle,A_3-2,-260.4685320066143,-954.6339269713478,0.0,,,
Angle of Mandible,Angle,A_3-3,-706.5416345203594,-1099.3598668980296,0.0,,,
Angle of Mandible,Angle,,,,,angle,124.04313716270354,deg
Anterior of Ramus,Curve,anterior of ramus-1,-428.7839439656845,-609.4999935520704,0.0,,,
Anterior of Ramus,Curve,anterior of ramus-1,-416.6894841212394,-682.9970956836983,0.0,,,
Anterior of Ramus,Curve,anterior of ramus-2,-456.694235914404,-770.4493437896859,0.0,,,
Anterior of Ramus,Curve,,,,,length,172.5274607977314,mm
Anterior of Ramus,Curve,,,,,curvature mean,0.0,
Anterior of Ramus,Curve,,,,,curvature max,0.0,
Anterior of Ramus,Curve,,,,,torsion mean,0.0,
Anterior of Ramus,Curve,,,,,torsion max,0.0,
Apex of PremolarMolar,Fiducial,Apex of Premolar/Molar,-743.8070154732809,-957.1804471402048,0.0,,,
IAC,Fiducial,IAC ,-281.08058322099816,-643.5218054803996,0.0,,,
IAC Sup,Fiducial,IAC SUP,-280.8028680938402,-638.8932200277666,0.0,,,
IAC inf,Fiducial,IAC INF,-281.2657266391035,-647.5023889696641,0.0,,,
MF Int,Fiducial,MF-int,-764.5051685125238,-1004.547374287703,0.0,,,
MF Sup,Fiducial,MF-sup,-765.3012513217254,-993.8002563634808,0.0,,,
Mid-symphyseal,Line,AMB-1,-1029.523904941091,8.829265995184983,0.0,,,
Mid-symphyseal,Line,AMB-2,-1029.523904941091,-1142.4702768894922,0.0,,,
Mid-symphyseal,Line,,,,,length,1151.299542884677,mm
Alveolar Crest2,Angle,A-1,-781.6187086614959,-800.5529739515545,0.0,,,
Alveolar Crest2,Angle,Alveolar Crest2,-793.3025840392271,-797.0478113382351,0.0,,,
Alveolar Crest2,Angle,A-3,-790.9658089636808,-770.7590917383399,0.0,,,
Alveolar Crest2,Angle,,,,,angle,101.61963637397918,deg
Alveolar Crest3,Angle,A-1,-711.5154563951087,-809.3158804848529,0.0,,,
Alveolar Crest3,Angle,Alveolar Crest3,-733.714819612798,-808.7316867159662,0.0,,,
Alveolar Crest3,Angle,A-3,-726.7044943861592,-773.6800605827727,0.0,,,
Alveolar Crest3,Angle,,,,,angle,80.1975032847548,deg
Alveolar Crest1,Angle,A-1,-611.0341281466203,-799.9687801826678,0.0,,,
Alveolar Crest1,Angle,Alveolar Crest1,-632.6492975954231,-797.6320051071217,0.0,,,
Alveolar Crest1,Angle,A-3,-634.4018789020828,-767.8381228939071,0.0,,,
Alveolar Crest1,Angle,,,,,angle,99.53663575845904,deg
LBM 90,Fiducial,LBM 90-1,-769.9962429928582,-1108.8766738344605,0.0,,,
